File Name,Fe-O Bond 1,Fe-O Bond 2,Fe-O Bond 3,Fe-O Bond 4,Fe-O Bond 5,Fe-O Bond 6
wB97X,2.0337847341840285,2.0339173934552996,2.033975427531021,2.034030560094907,2.0340650802764397,2.034346248233078
svwn,2.0003214286958984,2.000369862325465,2.0004547600483247,2.0004557894889854,2.000458470701154,2.0004614967801806
M06-HF,2.031614448092945,2.031660266013981,2.0316683526107306,2.0316974182441636,2.0317000625338375,2.0317098627018573
X3LYP,2.044173421141171,2.0441737418575747,2.044187493113095,2.0441963671575194,2.0442190644106617,2.0442485445023557
wB97,2.03535547531629,2.035522732862495,2.035587723950997,2.035640130941616,2.035772179714616,2.0358088603058984
OVWN5,2.1236360761674775,2.1236753888718494,2.123684213931064,2.1236848391651715,2.1236941720972915,2.1237181391371127
OLYP,2.091572350457904,2.0915786703349215,2.0916776100298056,2.0916955355882942,2.091718251223142,2.0918002195477463
wB97X-D,2.0345219983573535,2.03454699835123,2.034561281578906,2.034573863712006,2.0345829867813205,2.034585960779244
SPW91,1.9698364522467342,1.9698600768074874,1.9698642603996857,1.9698765478323763,1.9699133626888266,1.969936947899602
B2PLYP,2.0353356277773944,2.035354357673376,2.0353581490735237,2.035363877369351,2.0353699922372837,2.0353786982524897
B97D,2.063183400354898,2.0632456715330827,2.063260404723553,2.0632733733075703,2.063285314201601,2.063302354818605
PBE,2.059319728575434,2.0593241956039847,2.059336553480271,2.0593565072857105,2.059389732275074,2.0594446484914326
O3LYP,2.0657910017472725,2.0658108877145556,2.065851521915358,2.065916209457683,2.06594748357745,2.0659796893725746
HSE06,2.032171664525416,2.0321728968028285,2.032172972485364,2.032184792433995,2.032209306395382,2.0322126221682613
TPSSh,2.040596561694643,2.040658192642756,2.040735976774066,2.041066353331023,2.0411436203755975,2.041169899885847
OPBE,2.0759922807900804,2.0760141316715552,2.0760263470389773,2.0760350462600576,2.0760988672267033,2.0761007567312335
n12,2.031139383523445,2.0311944907615325,2.031209196857872,2.031299276694599,2.031331448213215,2.031388434790353
bpw91,2.06838836070502,2.0683994265131673,2.0684018025760853,2.0684223836054376,2.06843121290025,2.0684623683064673
MPW1PW91,2.0329321085811007,2.0329351775450193,2.0329629160906997,2.0329665392967,2.0330463912316414,2.033048844617364
PBE0,2.0298271748599683,2.0299649202387706,2.029973780150867,2.0300568229978193,2.030057134885617,2.030093579813502
BLYP,2.0738943441024182,2.07390803043433,2.0739251258423,2.073925833027787,2.073925994701836,2.073950112659415
B3LYP,2.043144758062923,2.043176632158855,2.0431891065195114,2.043204109701231,2.043242866890767,2.043267318340897
B3PW91,2.0344331197903753,2.0345259656981525,2.0345618336388798,2.0347744387523643,2.034813495261912,2.034826752846542
M05,2.043902449017565,2.043920338247066,2.0439210237433345,2.043945837785336,2.0439709228117704,2.0439768829906075
M06,2.0298056515095233,2.0298110258346713,2.029876383354415,2.0299653703696525,2.0300630304254104,2.0301276795315117
OTPSS,2.0802934798965262,2.0803736683826775,2.0804016428805276,2.0804415805544747,2.080535948908358,2.080610278355848
M08-HX,2.0369010798514493,2.0369262892161806,2.0369532234933625,2.0369859918271405,2.037053776634284,2.037072320120226
CAM-B3LYP,2.029023812009115,2.0290628384798732,2.0290644258376815,2.029080738290125,2.029152661334282,2.0291540710847955
M06-2X,2.0306695610069108,2.0306784638883624,2.030836649610204,2.030847105052471,2.030936468011739,2.0309398331314497
BMK,2.029539950555298,2.0295527839157077,2.029562005433685,2.029587621513296,2.029613831693113,2.0296231932553392
M06-L,2.044850452502579,2.0448783866284077,2.044949143377409,2.044949858505093,2.0449702880971157,2.044972070762826
