Functional,0,2,3
B3LYP,-6309.58849649,-6309.44535989,-6309.23710804
B3PW91,-6307.54886204,-6307.4057675,-6307.2047496
B97D,-6307.15903526,-6307.01537522,-6306.82872831
BLYP,-6308.40618648,-6308.26201276,-6308.07835126
BMK,-6306.38309984,-6306.25971216,-6306.05063822
CAM-B3LYP,-6307.71158486,-6307.57852991,-6307.35924761
HSE06,-6304.08843216,-6303.9625577,-6303.75351064
M05,-6307.18189234,-6307.06893567,-6306.86297588
M05-2X,-6308.3673773,-6308.2507248,-6308.03369446
M06,-6307.0384616,-6306.89107067,-6306.69186826
M06-2X,-6306.95739215,-6306.83955525,-6306.62694214
M06-HF,-6307.21060969,-6307.04903984,-6306.81492503
M06-L,,-6308.23886386,-6308.0624681
M08-HX,-6307.16173596,-6307.05324965,-6306.83526359
MPW1PW91,-6307.99250925,-6307.86994364,-6307.65688479
O3LYP,-6307.67529718,-6307.576336,-6307.36461683
OLYP,-6307.83461269,-6307.73437098,-6307.53432045
OPBE,-6306.80528911,-6306.70377063,-6306.50643505
OTPSS,-6306.94535595,-6306.85177585,-6306.65335181
OVWN5,,-6329.79810759,-6329.56422111
PBE,-6303.58915181,-6303.44056654,-6303.25074287
PBE0,-6303.61486938,-6303.4920494,-6303.28246275
SPW91,-6249.04007422,-6248.85797477,-6248.73285994
TPSSh,-6308.90318816,-6308.77577297,-6308.57706103
UHF,-6281.22690748,-6281.25150043,-6281.06617817
X3LYP,-6307.43937166,-6307.31357359,
bpw91,-6308.82699401,-6308.68875738,-6308.49545343
n12,-6306.41560911,-6306.26993343,
svwn,-6283.78547417,-6283.56420077,
wB97,-6308.50819432,-6308.36702858,-6308.14351899
wB97X,-6308.05382057,-6307.91960393,-6307.69798337
wB97X-D,-6307.87657722,-6307.742921,-6307.52750947
