Functional,0,2,3
B2PLYP,-4239.48060936,-4239.35482891,
B3LYP,-4245.29530679,-4245.16405555,-4244.93149678
B3PW91,-4244.07107146,-4243.94329049,-4243.7174787
B97D,-4244.0343973,-4243.90024432,-4243.69409612
BLYP,-4244.6445104,-4244.47656705,-4244.26941211
BMK,-4243.17073026,-4243.06162277,-4242.83166863
CAM-B3LYP,-4244.21500893,-4244.06191957,-4243.82340068
HSE06,-4241.93766125,-4241.81571955,-4241.58525864
M05,-4243.86518322,-4243.75527738,-4243.52613198
M05-2X,-4244.5308529,-4244.4234638,-4244.1859963
M06,-4243.76633642,-4243.6259207,-4243.40547227
M06-2X,-4243.71260226,-4243.60604743,-4243.37195021
M06-HF,-4243.90351821,-4243.75588548,-4243.49801429
M06-L,-4244.54339749,-4244.42773586,-4244.23122341
M08-HX,-4243.82702034,-4243.72328684,-4243.48506035
MPW1PW91,-4244.36508342,-4244.24266564,-4244.01212382
O3LYP,-4244.20480329,-4244.0897718,-4243.87244434
OLYP,-4244.33912181,-4244.21794672,-4244.01702874
OPBE,-4243.71624765,-4243.5950764,-4243.39799686
OTPSS,-4243.79721581,-4243.68264356,-4243.48553794
OVWN5,-4257.70944242,-4257.64831938,-4257.42549482
PBE,-4241.6314603,-4241.4862902,-4241.27664451
PBE0,-4241.65139517,-4241.53177852,-4241.30173538
SPW91,-4208.12204505,-4207.99119136,-4207.8095061
TPSSh,-4244.87420699,-4244.74701948,-4244.53011861
UHF,-4227.98140298,-4227.98636241,-4227.7955055
X3LYP,-4243.98131988,-4243.85465994,-4243.62108235
bpw91,-4244.8705004,-4244.72803304,-4244.52351263
n12,-4243.53753491,-4243.41395384,-4243.21052021
svwn,-4229.25257001,-4229.06567173,-4228.84165336
wB97,-4244.67610233,-4244.5433289,-4244.29650697
wB97X,-4244.37986258,-4244.25259537,-4244.00780913
wB97X-D,-4244.25616656,-4244.14736515,-4243.91206739
