Functional,0,2,3
B3LYP,-2639.77353316,-2639.62841598,-2639.42047042
B3PW91,-2639.15456281,-2639.04060736,-2638.83610068
B97D,-2639.37861023,-2639.26175516,-2639.07748555
BLYP,-2639.48277224,-2639.32540938,-2639.1406749
BMK,-2638.47244978,-2638.37216885,-2638.15531468
CAM-B3LYP,-2639.25699428,-2639.11588411,-2638.91058877
HSE06,-2638.04468285,-2637.93810857,-2637.73471862
M05,-2639.09885354,-2638.97338814,-2638.77114437
M05-2X,-2639.37698855,-2639.24116652,-2639.02377235
M06,-2639.01470038,-2638.87876545,-2638.6751769
M06-2X,-2639.0272203,-2638.89065578,-2638.67368081
M06-HF,-2639.13126815,-2638.98991667,-2638.75248873
M06-L,-2639.35943299,-2639.25519548,-2639.073458
M08-HX,-2639.08462278,-2638.93614565,-2638.71379174
MPW1PW91,-2639.31566697,-2639.20764283,-2639.00153474
O3LYP,-2639.28328351,-2639.14580648,-2638.94968392
OLYP,-2639.38950411,-2639.24555132,-2639.06393629
OPBE,-2639.03927044,-2638.93423194,-2638.75391831
OTPSS,,-2638.97364071,-2638.7925887
OVWN5,-2646.06850039,-2645.94187628,-2645.73201047
PBE,-2637.88737671,-2637.75870886,-2637.5762999
PBE0,-2637.90253776,-2637.79801833,-2637.59447144
SPW91,-2620.83798618,-2620.71235396,-2620.57226633
TPSSh,-2639.51392356,-2639.40148044,-2639.20921189
UHF,-2630.98631298,-2630.99798988,-2630.82471834
X3LYP,-2639.09348957,-2638.95451269,-2638.7480452
bpw91,-2639.55215451,-2639.42483188,-2639.2413379
n12,-2639.09626987,-2638.98098198,-2638.79907862
svwn,-2631.33018183,-2631.15965215,-2630.98497225
wB97,-2639.4869398,-2639.36996549,-2639.14768793
wB97X,-2639.31024048,-2639.1988248,-2638.98018999
wB97X-D,-2639.241364,-2639.13794277,-2638.93151103
