File Name,Fe-O Bond 1,Fe-O Bond 2,Fe-O Bond 3,Fe-O Bond 4,Fe-O Bond 5,Fe-O Bond 6,Average,STDev
H2O_2,2.109147791,2.109289366,2.178697191,2.178796934,2.296126624,2.296421809,2.19,0.08
H2O_3,1.988075838,2.034890812,2.04000163,2.078786974,2.102601876,2.110353312,2.06,0.05
